arm	fixture	stream_mode	depth	run	mbps	frames	bytes	srv_cpu_s	srv_rss_kb	cpu_s_per_gb
E_pf_fair_off	frames_32k	per-frame	4	1	1879.00	5637	180406548	1.480	12604	8.204
E_pf_fair_off	frames_32k	per-frame	4	2	1864.67	5594	179030376	1.480	12764	8.267
E_pf_fair_off	frames_32k	per-frame	4	3	1805.00	5415	173301660	1.510	12624	8.713
E_pf_fair_off	frames_32k	per-frame	16	1	6455.33	19366	619789464	3.560	20436	5.743
E_pf_fair_off	frames_32k	per-frame	16	2	6453.00	19359	619565436	3.530	20616	5.696
E_pf_fair_off	frames_32k	per-frame	16	3	6456.00	19368	619853472	3.520	20496	5.679
E_shared_ref	frames_32k	shared	4	1	1821.00	5463	174837852	1.180	9828	6.749
E_shared_ref	frames_32k	shared	4	2	1825.33	5476	175253904	1.180	9816	6.733
E_shared_ref	frames_32k	shared	4	3	1839.00	5517	176566068	1.180	9948	6.683
E_shared_ref	frames_32k	shared	16	1	6336.33	19009	608364036	3.040	10400	4.997
E_shared_ref	frames_32k	shared	16	2	6483.00	19449	622445796	3.050	10340	4.900
E_shared_ref	frames_32k	shared	16	3	6437.33	19312	618061248	3.050	10348	4.935
R_copy	frames_250k	shared	16	1	1609.00	4827	1206769308	4.240	29072	3.505
R_copy	frames_250k	shared	16	2	1675.00	5025	1256270100	4.200	29848	3.337
R_copy	frames_250k	shared	16	3	1616.67	4850	1212519400	4.210	29512	3.463
R_chunked	frames_250k	shared	16	1	1865.33	5596	1399022384	4.120	27760	2.939
R_chunked	frames_250k	shared	16	2	1894.33	5683	1420772732	4.140	27736	2.909
R_chunked	frames_250k	shared	16	3	1893.33	5680	1420022720	4.120	27672	2.898
