arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	runtime	hop_count
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	76664	28451	68046	32926	10606494	300	10384	79502	11115	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	393041	102894	162319	101249	32771998	536	20703	176157	12634	0	21180	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	109472	43862	131008	62082	19949367	377	11304	716458	14850	0	11751	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	355694	132595	195745	128167	41362830	363	15271	231168	22909	80000000	49881	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	109038	48533	122042	53847	17330740	495	12234	61426	13906	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	3	320	320	122850	43184	89788	47565	15337249	390	10934	40631	12315	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	54078	31509	67345	35075	11268890	529	12468	133264	6886	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	69612	29028	78356	35022	11273859	303	10666	52275	13561	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	172978	109029	174382	105416	33889698	595	20828	88817	11899	0	21536	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	97595	43184	122211	46355	14922640	328	11452	42135	13311	0	11611	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	343586	139028	266920	139940	45130037	353	17399	233446	24363	80000000	52472	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	100380	41284	90894	46271	14894988	508	11888	58300	10138	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	4	320	320	101678	40272	86339	42359	13649242	298	9219	58688	14761	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	30899	32228	81531	33265	10670145	222	9237	44372	14823	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	112477	27210	69339	31970	10335609	416	10212	58475	8875	0	0	0	0	0	multi	0
mmap_blocking_touch	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	204080	94084	145087	90987	29316123	536	19277	67567	12244	0	19865	0	0	0	multi	320
mmap_touch_in_place	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	99627	35498	107392	40869	13166297	326	10532	861137	11928	0	10458	0	0	0	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	267677	127315	194407	126327	40700863	304	13740	57168	26282	80000000	47519	0	0	0	multi	320
pread_nowait	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	119082	41347	99913	46940	15138201	356	11497	97651	11356	80000000	0	0	0	0	multi	0
pread_nowait_chunked	frames_250k_live.sbnd	warm	reverse	full	16384	5	320	320	61242	40662	93861	47751	15336634	445	10649	50053	12646	80000000	0	0	0	0	multi	0
mmap_naive	frames_250k_live.sbnd	cold	random	full	16384	1	320	320	3724167	71747	4507992	192465	65165394	411	10584	66168	45608	0	0	0	0	0	multi	0
mmap_hybrid_mincore	frames_250k_live.sbnd	cold	random	full	16384	1	320	320	3404306	66720	4735786	190196	64112396	371	10811	48503	49372	0	3711244	0	0	0	multi	11
