label	arm	temp	mode	depth	asks	p50_ns	p90_ns	p99_ns	wall_ns	asks_per_s	cpu_ns_per_ask	rss_kib	miss_pct
fill_r11	after	cold	fill	1	256	19037	135318	770610	18540737	13807	79180	1800	0.01592356687898089
cold_d1_r11	before	cold	on-demand	1	256	301619	383417	441889	82336268	3109	285451	8	1.0
cold_d2_r11	before	cold	on-demand	2	256	384040	555927	662762	54414782	4705	237787	8	0.99609375
cold_d4_r11	before	cold	on-demand	4	256	758554	1003443	1135877	52356184	4890	242272	8	0.99609375
warm_d1_r11	before	warm	on-demand	1	256	205321	262739	340767	56555557	4527	201682	0	0.0
warm_d4_r11	before	warm	on-demand	4	256	372145	563720	691026	26419855	9690	130455	0	0.0
fill_r11	before	cold	fill	1	256	34727	116421	323514	18856062	13577	86450	1048	0.019011406844106463
cold_d1_r12	before	cold	on-demand	1	256	289309	344235	396355	78586022	3258	268851	8	1.0
cold_d2_r12	before	cold	on-demand	2	256	443026	558081	755681	61346839	4173	214169	8	0.99609375
cold_d4_r12	before	cold	on-demand	4	256	683620	904796	1090800	46496776	5506	218636	8	0.98828125
warm_d1_r12	before	warm	on-demand	1	256	199820	258361	322425	55598248	4604	192172	0	0.0
warm_d4_r12	before	warm	on-demand	4	256	364332	558468	680441	25910727	9880	127486	0	0.0
fill_r12	before	cold	fill	1	256	31685	137552	365039	18269756	14012	85465	2044	0.0176678445229682
cold_d1_r12	after	cold	on-demand	1	256	326787	384893	443288	86791959	2950	286653	8	1.0
cold_d2_r12	after	cold	on-demand	2	256	374484	513987	652742	53395274	4794	234166	8	0.99609375
cold_d4_r12	after	cold	on-demand	4	256	532395	703600	840709	37520194	6823	160506	8	0.99609375
warm_d1_r12	after	warm	on-demand	1	256	192948	247615	319766	54477128	4699	193013	0	0.0
warm_d4_r12	after	warm	on-demand	4	256	351035	520298	660124	25440271	10063	118155	16	0.0
fill_r12	after	cold	fill	1	256	4344	138603	885453	18784233	13628	85440	1132	0.014035087719298246
cold_d1_r13	after	cold	on-demand	1	256	287866	353769	432417	78753327	3251	286541	8	0.99609375
cold_d2_r13	after	cold	on-demand	2	256	376223	481624	588757	51633608	4958	225920	8	1.0
cold_d4_r13	after	cold	on-demand	4	256	516643	691866	885419	37125489	6896	173260	8	1.0
warm_d1_r13	after	warm	on-demand	1	256	200852	257217	342113	55633142	4602	201841	0	0.0
warm_d4_r13	after	warm	on-demand	4	256	353538	509130	690348	25749396	9942	126482	0	0.0
fill_r13	after	cold	fill	1	256	45515	127285	300816	20246591	12644	103536	120	0.00967741935483871
cold_d1_r13	before	cold	on-demand	1	256	274468	328229	392277	74445943	3439	272209	8	0.99609375
cold_d2_r13	before	cold	on-demand	2	256	354207	464629	729262	50184656	5101	229311	8	1.0
cold_d4_r13	before	cold	on-demand	4	256	633026	814611	946742	43959142	5824	242553	8	1.0
warm_d1_r13	before	warm	on-demand	1	256	206601	268850	313819	57461368	4455	192882	0	0.0
warm_d4_r13	before	warm	on-demand	4	256	368837	553946	684336	26165255	9784	126821	0	0.0
fill_r13	before	cold	fill	1	256	44005	130922	456910	21199069	12076	102121	968	0.01529051987767584
cold_d1_r14	before	cold	on-demand	1	256	265953	330218	417529	73249415	3495	268389	0	1.0
cold_d2_r14	before	cold	on-demand	2	256	361247	501932	709741	52521536	4874	223498	8	0.99609375
cold_d4_r14	before	cold	on-demand	4	256	634421	797546	1024518	44141982	5799	230393	8	0.99609375
warm_d1_r14	before	warm	on-demand	1	256	196048	242073	326577	54499002	4697	191122	0	0.0
warm_d4_r14	before	warm	on-demand	4	256	385631	555794	724135	27405904	9341	138182	0	0.0
fill_r14	before	cold	fill	1	256	29670	126011	801313	18634535	13738	88065	1188	0.01524390243902439
cold_d1_r14	after	cold	on-demand	1	256	284944	366416	1993978	90847785	2818	273157	8	1.0
cold_d2_r14	after	cold	on-demand	2	256	362315	508691	626918	50787880	5041	228004	8	1.0
cold_d4_r14	after	cold	on-demand	4	256	474326	652891	747687	34221018	7481	160950	8	0.99609375
warm_d1_r14	after	warm	on-demand	1	256	192958	238094	287608	53228717	4809	187645	0	0.0
warm_d4_r14	after	warm	on-demand	4	256	320482	498477	611287	24138661	10605	116159	0	0.0
fill_r14	after	cold	fill	1	256	30139	143891	582697	18172104	14088	81698	1076	0.015432098765432098
cold_d1_r15	after	cold	on-demand	1	256	267315	321567	403639	72593086	3527	259822	8	1.0
cold_d2_r15	after	cold	on-demand	2	256	425360	563507	777353	61293369	4177	229121	8	0.99609375
cold_d4_r15	after	cold	on-demand	4	256	479674	637030	788430	33325505	7682	162136	8	0.99609375
warm_d1_r15	after	warm	on-demand	1	256	201525	260952	333383	55527971	4610	210054	0	0.0
warm_d4_r15	after	warm	on-demand	4	256	315233	448373	548525	23251631	11010	110656	0	0.0
fill_r15	after	cold	fill	1	256	38070	119242	578056	18829437	13596	89340	1044	0.017421602787456445
cold_d1_r15	before	cold	on-demand	1	256	305792	373193	454442	83073684	3082	276814	8	0.99609375
cold_d2_r15	before	cold	on-demand	2	256	360842	487857	614952	50444065	5075	218398	8	1.0
cold_d4_r15	before	cold	on-demand	4	256	604533	787094	997806	41953126	6102	227915	8	0.99609375
warm_d1_r15	before	warm	on-demand	1	256	193836	252775	308087	54341767	4711	188908	0	0.0
warm_d4_r15	before	warm	on-demand	4	256	387165	601037	897430	29286576	8741	145368	0	0.0
fill_r15	before	cold	fill	1	256	32681	141018	305406	18504167	13835	86017	1332	0.016611295681063124
rss_d4_r0	before	warm	on-demand	4	12288	983350	3011860	82662033	562817872	21833	65225	11860	-
rss_d4_r0	after	warm	on-demand	4	12288	909996	2672313	83223778	474309545	25907	59195	14024	-
rss_d4_r1	after	warm	on-demand	4	12288	801878	2254683	81944532	429595354	28604	54651	14196	-
rss_d4_r1	before	warm	on-demand	4	12288	800488	1966408	81419271	420516605	29221	56174	11112	-
rss_d4_r2	before	warm	on-demand	4	12288	834461	2299552	62554874	468508316	26228	60333	11724	-
rss_d4_r2	after	warm	on-demand	4	12288	883655	2544917	81846517	466025516	26368	57994	14196	-
rss_d4_r3	after	warm	on-demand	4	12288	840495	2315366	64721517	559953818	21945	58345	13396	-
rss_d4_r3	before	warm	on-demand	4	12288	769786	2004209	80603915	462982806	26541	60346	11956	-
rss_d4_r4	before	warm	on-demand	4	12288	975603	2639743	81014448	505738198	24297	61639	11620	-
rss_d4_r4	after	warm	on-demand	4	12288	1175106	4956070	89057238	600882462	20450	69011	13912	-
rss_d4_r5	after	warm	on-demand	4	12288	911331	2430211	81236409	604752147	20319	64681	13832	-
rss_d4_r5	before	warm	on-demand	4	12288	921532	3034399	85105812	643512721	19095	70624	12040	-
rss_d4_r6	before	warm	on-demand	4	12288	984270	3064477	82803180	494835698	24832	66484	11648	-
rss_d4_r6	after	warm	on-demand	4	12288	975702	3454068	81814110	502258252	24466	65623	14052	-
rss_d4_r7	after	warm	on-demand	4	12288	876956	2568052	81669364	584724751	21015	67247	14060	-
rss_d4_r7	before	warm	on-demand	4	12288	943525	2859343	83326121	592557321	20737	67215	11628	-
