# crossover_bench placement A/B · lab/fixtures/frames_16k_big/frames_16k_big.sbnd · asks=256 size=16384 stride=250000 repeats=6
# placement=inline reproduces the old harness (ring loop on the block_on calling thread); placement=spawned runs every arm on a runtime worker
placement	arm	warm_frac	depth	repeat	miss_pct	p50_ns	p99_ns	cpu_ns_per_ask	asks_per_s
spawned	hybrid	0.9	1	4	5.9	4913	132378	10977	76609
spawned	pool	0.9	1	4	5.9	6628	174201	15771	59420
spawned	hybrid	0.9	1	5	8.2	5713	135148	11837	64172
spawned	pool	0.9	1	5	8.2	6528	169227	19289	52422
spawned	uring	0.9	1	5	100.0	5393	112080	12674	64933
spawned	pool	0.9	8	0	12.1	6066	561043	22947	145112
spawned	uring	0.9	8	0	100.0	78658	202092	14986	77877
spawned	hybrid	0.9	8	0	12.1	6276	155430	16235	64519
spawned	uring	0.9	8	1	100.0	93071	260581	15907	69507
spawned	hybrid	0.9	8	1	10.9	4434	150523	12188	83796
spawned	pool	0.9	8	1	10.9	4977	395965	18985	190516
spawned	hybrid	0.9	8	2	11.3	4456	116230	11906	83146
spawned	pool	0.9	8	2	10.9	7405	555172	24073	137452
spawned	uring	0.9	8	2	100.0	78585	211983	14290	86396
spawned	pool	0.9	8	3	8.6	6060	480927	20558	182474
spawned	uring	0.9	8	3	100.0	77455	241655	14697	87453
spawned	hybrid	0.9	8	3	8.6	5412	133617	11827	79708
spawned	uring	0.9	8	4	100.0	85771	225359	14638	78472
spawned	hybrid	0.9	8	4	5.9	5558	124522	12370	90498
spawned	pool	0.9	8	4	5.9	7189	391609	19665	194809
spawned	hybrid	0.9	8	5	8.2	5638	141420	12766	69712
spawned	pool	0.9	8	5	8.2	6817	414786	21321	165484
spawned	uring	0.9	8	5	100.0	80212	257658	15299	75927
spawned	pool	1	1	0	0.0	3279	8921	6096	226266
spawned	uring	1	1	0	100.0	5364	32109	20630	88080
spawned	hybrid	1	1	0	0.0	3719	11604	7710	87536
spawned	uring	1	1	1	100.0	3768	11886	5201	192453
spawned	hybrid	1	1	1	0.0	3227	7508	4505	219199
spawned	pool	1	1	1	0.0	2946	6984	3757	212630
spawned	hybrid	1	1	2	0.0	3384	26624	6980	145372
spawned	pool	1	1	2	0.0	3283	8920	4999	203227
spawned	uring	1	1	2	100.0	5411	25353	20091	45962
spawned	pool	1	1	3	0.0	4794	9003	5757	173855
spawned	uring	1	1	3	100.0	5460	24111	9330	125186
spawned	hybrid	1	1	3	0.0	4007	8678	5343	187367
spawned	uring	1	1	4	100.0	6667	25490	23926	30544
spawned	hybrid	1	1	4	0.0	3744	8754	6479	54724
spawned	pool	1	1	4	0.0	3328	10570	5584	111747
spawned	hybrid	1	1	5	0.0	3219	8847	5285	54600
spawned	pool	1	1	5	0.0	3652	8917	6598	66596
spawned	uring	1	1	5	100.0	3923	10836	7224	69558
spawned	pool	1	8	0	0.0	4230	15153	7188	249269
spawned	uring	1	8	0	100.0	30567	59342	5185	193121
spawned	hybrid	1	8	0	0.0	4043	11315	7019	163252
spawned	uring	1	8	1	100.0	48037	88208	9689	142537
spawned	hybrid	1	8	1	0.0	3717	8436	5435	182198
spawned	pool	1	8	1	0.0	3654	7813	4565	219350
spawned	hybrid	1	8	2	0.0	3277	10330	5418	197980
spawned	pool	1	8	2	0.0	3891	9728	5542	258291
spawned	uring	1	8	2	100.0	34593	89291	7584	60230
spawned	pool	1	8	3	0.0	4971	29697	8377	290471
spawned	uring	1	8	3	100.0	34656	87822	5403	182893
spawned	hybrid	1	8	3	0.0	4022	16226	6471	55248
spawned	uring	1	8	4	100.0	49080	94291	9696	133379
spawned	hybrid	1	8	4	0.0	4264	27312	6586	163219
spawned	pool	1	8	4	0.0	4336	12016	7547	308819
spawned	hybrid	1	8	5	0.0	3888	8454	6718	72834
spawned	pool	1	8	5	0.0	4406	11149	6217	294917
spawned	uring	1	8	5	100.0	51811	131159	11772	126052
spawned	pool	0.98	1	0	2.3	4039	157010	10392	69756
spawned	uring	0.98	1	0	100.0	4640	160022	10561	43333
spawned	hybrid	0.98	1	0	2.3	3739	128415	7037	128270
spawned	uring	0.98	1	1	100.0	4539	91094	7743	116026
spawned	hybrid	0.98	1	1	2.3	4297	128276	9552	105944
spawned	pool	0.98	1	1	2.3	4031	167166	12468	32086
spawned	hybrid	0.98	1	2	2.3	3812	72655	6839	132400
spawned	pool	0.98	1	2	2.3	3840	154212	10619	34324
spawned	uring	0.98	1	2	100.0	4796	123046	12952	54678
spawned	pool	0.98	1	3	0.4	3862	31868	7167	60627
spawned	uring	0.98	1	3	100.0	5082	29550	17145	96467
spawned	hybrid	0.98	1	3	0.4	3841	7519	7515	62131
spawned	uring	0.98	1	4	100.0	4553	84993	7102	132337
spawned	hybrid	0.98	1	4	2.0	3822	116600	7698	123354
spawned	pool	0.98	1	4	2.0	3787	153695	10700	46917
spawned	hybrid	0.98	1	5	1.6	3731	120709	8143	124946
spawned	pool	0.98	1	5	1.6	2995	290272	12408	42355
spawned	uring	0.98	1	5	100.0	4969	127223	10885	107812
spawned	pool	0.98	8	0	2.3	4204	290980	9533	182064
spawned	uring	0.98	8	0	100.0	64225	195297	14994	49753
spawned	hybrid	0.98	8	0	2.3	4526	103249	9561	81529
spawned	uring	0.98	8	1	100.0	50944	254896	11591	103976
spawned	hybrid	0.98	8	1	2.3	4359	399782	8943	35463
spawned	pool	0.98	8	1	2.3	5734	607504	11658	151164
spawned	hybrid	0.98	8	2	2.3	5383	270022	11905	84979
spawned	pool	0.98	8	2	2.3	5908	625348	13970	146905
spawned	uring	0.98	8	2	100.0	64595	261377	16632	82530
spawned	pool	0.98	8	3	0.4	5261	29947	7986	192121
spawned	uring	0.98	8	3	100.0	28347	87032	7226	172729
spawned	hybrid	0.98	8	3	0.4	3075	12962	5362	184519
spawned	uring	0.98	8	4	100.0	28070	263846	8625	118325
spawned	hybrid	0.98	8	4	2.0	3112	103432	8659	141758
spawned	pool	0.98	8	4	2.0	3318	471640	10027	135336
spawned	hybrid	0.98	8	5	1.6	3168	189569	10578	98236
spawned	pool	0.98	8	5	1.6	3157	711394	11630	144341
spawned	uring	0.98	8	5	100.0	26882	96450	5621	183754
