# crossover_bench · lab/fixtures/frames_16k_big/frames_16k_big.sbnd · asks=256 size=16384 stride=250000 repeats=6
arm	warm_frac	depth	repeat	miss_pct	p50_ns	p99_ns	cpu_ns_per_ask	asks_per_s
uring	1	1	3	100.0	15963	23562	18794	68911
hybrid	1	1	3	0.0	2986	7670	5112	229017
uring	1	1	4	100.0	14875	27055	16314	78884
hybrid	1	1	4	0.0	4620	11731	6156	170473
pool	1	1	4	0.0	3684	10608	5398	209346
hybrid	1	1	5	0.0	3525	9566	5261	203570
pool	1	1	5	0.0	3516	9779	5458	206219
uring	1	1	5	100.0	16892	28166	21401	57002
pool	1	8	0	0.0	4873	18252	8401	445053
uring	1	8	0	100.0	46950	82178	8462	139793
hybrid	1	8	0	0.0	3793	8984	6571	183635
uring	1	8	1	100.0	45521	68534	9066	144188
hybrid	1	8	1	0.0	4060	8563	6751	192132
pool	1	8	1	0.0	4574	11981	7221	413311
hybrid	1	8	2	0.0	3770	8665	6292	195089
pool	1	8	2	0.0	4890	33460	8977	474084
uring	1	8	2	100.0	50936	117990	9679	130324
pool	1	8	3	0.0	4730	18726	7432	414973
uring	1	8	3	100.0	41249	74508	8386	156834
hybrid	1	8	3	0.0	3049	6883	5684	228628
uring	1	8	4	100.0	43280	64357	8481	154909
hybrid	1	8	4	0.0	3113	6999	5968	203311
pool	1	8	4	0.0	4878	11229	8143	510676
hybrid	1	8	5	0.0	3536	7872	6342	200323
pool	1	8	5	0.0	5607	15069	8009	386276
uring	1	8	5	100.0	44784	102266	7881	150845
