arm	trace	repeat	concurrency	region_start	region_frames	region_stride	mix_target	mix_achieved	hit_resident	miss_resident	asks	wall_ns	throughput_fps	p50_ns	p90_ns	p99_ns	max_ns	hop_count	hop_events	hop_p50_ns	hop_p99_ns	gap_p99_ns	gap_max_ns	cpu_ns	cpu_per_ask_ns	threads_max	read_chunk	uring_depth	runtime
pread_nowait	forward	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	8948945	35758.4	198020	322991	423910	508913	0	0	0	0	0	0	35643142	111384	5	65536	2	multi
pread_nowait_escalate	forward	3	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10976198	29154.0	248999	325482	405391	470622	0	0	0	0	0	0	42955629	134236	5	65536	2	multi
pread_nowait_chunked	forward	3	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	9872430	32413.5	217974	286665	361497	449908	0	0	0	0	0	0	37448011	117025	5	65536	2	multi
pread_blocking_pooled	forward	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	16021500	19973.2	325126	613284	1091809	1503791	320	320	181567	921834	0	0	54321443	169754	23	65536	2	multi
uring_whole	forward	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	13086206	24453.2	243706	427005	764105	1601413	0	0	0	0	0	0	47841178	149503	5	65536	2	multi
pread_nowait	forward	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	10331940	30971.9	219237	358444	547557	745224	0	0	0	0	0	0	40913483	127854	5	65536	2	multi
pread_nowait_escalate	forward	4	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	11319088	28270.8	261446	361585	447798	534687	0	0	0	0	0	0	45018816	140683	5	65536	2	multi
pread_nowait_chunked	forward	4	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	12403118	25800.0	278604	387943	494393	543655	0	0	0	0	0	0	48845833	152643	5	65536	2	multi
pread_blocking_pooled	forward	5	8	12800	320	40	0.0000	0.0000	1.0000	0.0000	320	21133193	15142.1	411646	804119	1473293	1595577	320	320	215037	1066869	0	0	64196699	200614	24	65536	2	multi
uring_whole	forward	5	8	0	320	40	0.0000	0.0000	1.0000	0.0000	320	13711887	23337.4	281960	482988	815083	1369516	0	0	0	0	0	0	53078822	165871	5	65536	2	multi
