label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	1	7	0	256	29203	787427	1341809	110085	53841968	4755	9	0	0	16.8	0.000	0	0	64	0
ring_250k	product	off	cold	sweep	250000	250000	1	1	7	1	256	29010	829433	1435909	114073	53558286	4780	9	0	0	16.8	0.000	1	1	244	1
ring_250k	product	off	cold	sweep	250000	250000	1	16	0	0	4096	108865	3463979	5103312	119493	358692237	11419	9	0	0	48.4	0.000	1	1	1104	16
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	0	1	4096	110283	4385256	7372387	159396	403553775	10150	9	0	0	42.2	0.000	0	0	2896	0
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	1	0	4096	106462	3759935	5716830	139376	362926867	11286	9	0	0	45.9	0.000	0	0	3596	0
ring_250k	product	off	cold	sweep	250000	250000	1	16	1	1	4096	116466	3514910	5345860	122683	364827310	11227	9	0	0	48.5	0.000	1	1	1148	16
ring_250k	product	off	cold	sweep	250000	250000	1	16	2	0	4096	105429	3396858	5309831	122309	358613964	11422	9	0	0	47.9	0.000	1	1	440	16
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	2	1	4096	115121	3538455	5474051	133484	358617480	11422	9	0	0	47.1	0.000	0	0	3868	0
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	3	0	4096	135242	3464233	5521576	127588	364817807	11228	9	0	0	47.9	0.000	0	0	3188	0
ring_250k	product	off	cold	sweep	250000	250000	1	16	3	1	4096	96587	3744681	5691907	135135	360274774	11369	9	0	0	44.5	0.000	1	1	1196	16
ring_250k	product	off	cold	sweep	250000	250000	1	16	4	0	4096	102300	3481488	5530569	125477	358729079	11418	9	0	0	47.5	0.000	1	1	1620	16
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	4	1	4096	125780	3456728	5087995	126159	360738763	11354	9	0	0	48.2	0.000	0	0	3564	0
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	5	0	4096	100642	3882158	6478016	135238	378529345	10821	9	0	0	45.2	0.000	0	0	2416	0
ring_250k	product	off	cold	sweep	250000	250000	1	16	5	1	4096	147697	3368688	5195799	119474	364454925	11239	9	0	0	48.7	0.000	1	1	1504	16
ring_250k	product	off	cold	sweep	250000	250000	1	16	6	0	4096	113134	3247645	5107799	117731	355752602	11514	9	0	0	48.5	0.000	1	1	1044	16
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	6	1	4096	136759	3445780	5101315	123845	358904713	11412	9	0	0	48.4	0.000	0	0	576	0
ring_250k	hybrid_lazyring	off	cold	sweep	250000	250000	1	16	7	0	4096	115676	3773786	6249934	141735	374679864	10932	9	0	0	45.5	0.000	0	0	1096	0
ring_250k	product	off	cold	sweep	250000	250000	1	16	7	1	4096	117233	3421195	5346786	128594	358991141	11410	9	0	0	47.9	0.000	1	1	476	16
ring_250k	product	off	cold	sweep	250000	250000	1	64	0	0	16384	96706	9908750	14919084	103288	580655472	28216	9	0	0	12.5	0.000	1	1	4572	64
