label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	1	2	256	591863	838537	911607	172692	165027631	1551	9	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	1	3	256	580981	675865	776329	133419	147663785	1734	9	0	0	99.6	0.000	1	1
size_65536	pool	off	cold	stride	65536	500000	1	1	2	0	256	408678	525391	586314	63367	109410458	2340	10	0	0	99.6	0.000	0	0
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	2	1	256	511413	767272	904972	109818	143867103	1779	9	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	2	2	256	517633	795819	864081	121180	143509429	1784	9	0	0	99.6	0.000	1	1
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	2	3	256	238577	437759	514821	98590	65268009	3922	9	0	0	99.6	0.000	2	2
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	3	0	256	522230	834166	941000	145614	149134168	1717	9	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	3	1	256	606759	859266	951695	183103	167867552	1525	9	0	0	99.6	0.000	1	1
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	3	2	256	197862	285798	384501	62579	52536371	4873	9	0	0	99.6	0.000	2	2
size_65536	pool	off	cold	stride	65536	500000	1	1	3	3	256	353285	472974	562500	63424	96316073	2658	10	0	0	99.6	0.000	0	0
size_65536	product	off	cold	stride	65536	500000	1	1	4	0	256	477835	720144	835667	94472	126776515	2019	9	0	0	99.6	0.000	1	1
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	4	1	256	279128	504523	590152	114116	72763759	3518	9	0	0	99.6	0.000	2	2
size_65536	pool	off	cold	stride	65536	500000	1	1	4	2	256	382826	529975	643180	70488	103853400	2465	10	0	0	99.6	0.000	0	0
size_65536	hybrid_lazyring	off	cold	stride	65536	500000	1	1	4	3	256	759954	869214	966086	212252	184591488	1387	9	0	0	99.6	0.000	0	0
size_65536	product_ahead	off	cold	stride	65536	500000	1	1	5	0	256	187833	336255	466438	51975	51812111	4941	9	0	0	99.6	0.000	2	2
size_65536	pool	off	cold	stride	65536	500000	1	1	5	1	256	355401	516318	574041	60547	99301572	2578	10	0	0	99.6	0.000	0	0
