label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight	rss_kib	rings_built
fill_16k	pool	off	warm	sweep	16384	16384	1	16	4	2	4096	6394	7627	14688	6981	5114415	800874	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	4	3	4096	33190	98357	860560	27360	21913557	186916	93	0	0	100.0	0.000	0	0	620	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	5	0	4096	6488	7218	14436	7049	4100158	998986	9	0	0	0.0	0.000	0	0	144	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	5	1	4096	6471	7196	15209	7038	4555919	899050	9	0	0	0.0	0.000	0	0	32	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	5	2	4096	30217	107197	956039	27268	22474468	182251	101	0	0	100.0	0.000	0	0	732	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	5	3	4096	6560	7345	15366	7058	5247794	780518	9	0	0	0.0	0.000	1	0	136	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	6	0	4096	6308	7299	18530	6901	5238902	781843	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	6	1	4096	33603	112387	928530	27687	24691489	165887	95	0	0	100.0	0.000	0	0	692	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	6	2	4096	6600	7375	14523	7185	4267343	959848	9	0	0	0.0	0.000	1	0	100	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	6	3	4096	6431	7214	14966	6922	4883148	838803	9	0	0	0.0	0.000	0	0	32	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	7	0	4096	33497	129188	993946	27657	23346040	175447	94	0	0	100.0	0.000	0	0	636	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	7	1	4096	6148	7000	19858	6656	4026823	1017179	9	0	0	0.0	0.000	1	0	208	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	7	2	4096	6247	7156	15276	6740	4836870	846829	9	0	0	0.0	0.000	0	0	32	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	7	3	4096	6058	7171	16861	6581	5546126	738534	9	0	0	0.0	0.000	0	0	32	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	8	0	4096	6727	8534	18446	7363	5427219	754714	9	0	0	0.0	0.000	1	0	0	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	8	1	4096	6485	7243	13300	7029	4105202	997758	9	0	0	0.0	0.000	0	0	32	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	8	2	4096	6464	7186	13177	6880	4575261	895249	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	8	3	4096	31847	133298	1132503	29539	25326440	161728	110	0	0	100.0	0.000	0	0	860	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	9	0	4096	6339	7150	13795	6869	4824777	848951	9	0	0	0.0	0.000	0	0	72	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	9	1	4096	6243	7625	18484	6956	5406066	757667	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	9	2	4096	30274	105827	935057	26217	22242086	184155	114	0	0	100.0	0.000	0	0	888	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	9	3	4096	6232	6988	17850	6793	4053435	1010501	9	0	0	0.0	0.000	1	0	112	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	10	0	4096	6310	7162	19159	6890	4571864	895915	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	10	1	4096	30064	106017	737907	26135	19457541	210510	87	0	0	100.0	0.000	0	0	584	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	10	2	4096	6434	7204	17985	6942	4250510	963649	9	0	0	0.0	0.000	1	0	148	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	10	3	4096	6322	7080	11193	6778	3925026	1043560	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	16	11	0	4096	31509	102181	876710	26294	21745946	188357	101	0	0	100.0	0.000	0	0	788	0
fill_16k	product	off	warm	sweep	16384	16384	1	16	11	1	4096	6447	7198	14309	6919	4438871	922757	9	0	0	0.0	0.000	1	0	72	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	16	11	2	4096	5780	6852	15474	6286	5151836	795056	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pool	off	warm	sweep	16384	16384	1	16	11	3	4096	6082	6948	14012	6573	4602848	889884	9	0	0	0.0	0.000	0	0	0	0
fill_16k	product	off	warm	sweep	16384	16384	1	64	0	0	16384	6010	6963	15063	6348	16971098	965406	9	0	0	0.0	0.000	1	0	296	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	64	0	1	16384	5795	6754	15259	6217	17040142	961494	9	0	0	0.0	0.000	0	0	112	0
fill_16k	pool	off	warm	sweep	16384	16384	1	64	0	2	16384	6024	6943	17545	6551	17332285	945288	9	0	0	0.0	0.000	0	0	52	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	64	0	3	16384	137393	311852	1317280	19979	52164155	314085	120	0	0	100.0	0.000	0	0	1552	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	64	1	0	16384	5825	6731	16917	6324	14563518	1125003	9	0	0	0.0	0.000	0	0	240	0
fill_16k	pool	off	warm	sweep	16384	16384	1	64	1	1	16384	5993	6908	19292	6518	16386508	999847	9	0	0	0.0	0.000	0	0	132	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	64	1	2	16384	163120	389807	2216079	19333	68330938	239774	154	0	0	100.0	0.000	0	0	1968	0
fill_16k	product	off	warm	sweep	16384	16384	1	64	1	3	16384	6148	7015	18071	6646	16086620	1018486	9	0	0	0.0	0.000	1	0	152	0
fill_16k	pool	off	warm	sweep	16384	16384	1	64	2	0	16384	5902	6796	16368	6428	14927189	1097594	9	0	0	0.0	0.000	0	0	100	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	64	2	1	16384	136451	303435	1504171	20078	51725006	316752	137	0	0	100.0	0.000	0	0	1528	0
fill_16k	product	off	warm	sweep	16384	16384	1	64	2	2	16384	5750	6594	14277	6146	15008123	1091675	9	0	0	0.0	0.000	1	0	64	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	64	2	3	16384	5953	6869	15162	6416	14941962	1096509	9	0	0	0.0	0.000	0	0	112	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	64	3	0	16384	146678	327295	1737417	20261	57236349	286252	173	0	0	100.0	0.000	0	0	1680	0
fill_16k	product	off	warm	sweep	16384	16384	1	64	3	1	16384	5839	6865	15379	6240	17295772	947284	9	0	0	0.0	0.000	1	0	172	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	64	3	2	16384	5987	6904	18803	6491	16520428	991742	9	0	0	0.0	0.000	0	0	96	0
fill_16k	pool	off	warm	sweep	16384	16384	1	64	3	3	16384	6009	6920	16561	6513	15512927	1056151	9	0	0	0.0	0.000	0	0	0	0
fill_16k	product	off	warm	sweep	16384	16384	1	64	4	0	16384	5770	6590	14545	6257	18523130	884516	9	0	0	0.0	0.000	1	0	0	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	64	4	1	16384	6078	6960	15745	6581	16040187	1021434	9	0	0	0.0	0.000	0	0	132	0
fill_16k	pool	off	warm	sweep	16384	16384	1	64	4	2	16384	6081	6970	14779	6580	15934612	1028202	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	64	4	3	16384	140589	341264	1752663	20697	57955092	282702	143	0	0	100.0	0.000	0	0	1448	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	64	5	0	16384	5903	6870	15676	6429	16297056	1005335	9	0	0	0.0	0.000	0	0	192	0
fill_16k	pool	off	warm	sweep	16384	16384	1	64	5	1	16384	5910	6825	14709	6347	16648503	984113	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	64	5	2	16384	153664	346164	1481877	19775	55806794	293584	132	0	0	100.0	0.000	0	0	1128	0
fill_16k	product	off	warm	sweep	16384	16384	1	64	5	3	16384	5956	6860	15959	6378	15290137	1071540	9	0	0	0.0	0.000	1	0	64	0
fill_16k	pool	off	warm	sweep	16384	16384	1	64	6	0	16384	5879	6807	14044	6331	16602040	986867	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	64	6	1	16384	140126	305786	1416903	20264	52131237	314284	150	0	0	100.0	0.000	0	0	1296	0
fill_16k	product	off	warm	sweep	16384	16384	1	64	6	2	16384	5723	6631	14903	6146	14822476	1105348	9	0	0	0.0	0.000	1	0	64	0
fill_16k	hybrid_lazyring	off	warm	sweep	16384	16384	1	64	6	3	16384	5972	6869	17159	6485	16113058	1016815	9	0	0	0.0	0.000	0	0	0	0
fill_16k	pooled_pread	off	warm	sweep	16384	16384	1	64	7	0	16384	148358	404098	1965495	21616	63585743	257668	155	0	0	100.0	0.000	0	0	1260	0
fill_16k	product	off	warm	sweep	16384	16384	1	64	7	1	16384	6180	7389	18658	6792	20300596	807070	9	0	0	0.0	0.000	1	0	148	0
