label	arm	temp	mode	depth	asks	p50_ns	p90_ns	p99_ns	wall_ns	asks_per_s	cpu_ns_per_ask	rss_kib	miss_pct	named
warm_d4_r11	before	warm	on-demand	4	256	279030	356668	408056	20010879	12793	113314	8	0.0	-
fill_r11	before	cold	fill	1	256	38967	112775	851511	20216192	12663	88347	1676	0.024305555555555556	-
cold_d1_r12	before	cold	on-demand	1	256	308996	412629	512887	85777191	2984	154690	8	1.0	-
cold_d2_r12	before	cold	on-demand	2	256	412055	478286	564240	56258043	4550	129895	8	1.0	-
cold_d4_r12	before	cold	on-demand	4	256	816686	896701	965293	55331242	4627	187928	8	1.0	-
warm_d1_r12	before	warm	on-demand	1	256	143219	182374	338295	41620792	6151	125790	0	0.0	-
warm_d4_r12	before	warm	on-demand	4	256	356199	471303	543058	25564079	10014	140677	0	0.0	-
fill_r12	before	cold	fill	1	256	62493	134033	536814	25158922	10175	120789	1048	0.019455252918287938	-
cold_d1_r12	after	cold	on-demand	1	256	359548	480424	570698	102058483	2508	193131	8	1.0	1
cold_d2_r12	after	cold	on-demand	2	256	410766	452939	526602	55360218	4624	133292	8	1.0	2
cold_d4_r12	after	cold	on-demand	4	256	487263	599234	706528	34074708	7513	134758	8	1.0	4
warm_d1_r12	after	warm	on-demand	1	256	142341	174962	221642	38916697	6578	121190	0	0.0	1
warm_d4_r12	after	warm	on-demand	4	256	287651	362714	435834	20715558	12358	109244	0	0.0	4
fill_r12	after	cold	fill	1	256	48354	114805	592683	21718682	11787	97954	1096	0.024822695035460994	2
cold_d1_r13	after	cold	on-demand	1	256	329581	437839	522212	91055997	2811	165595	8	1.0	1
cold_d2_r13	after	cold	on-demand	2	256	395328	448090	541096	53261733	4806	119011	8	1.0	2
cold_d4_r13	after	cold	on-demand	4	256	512469	653512	765240	35747418	7161	151438	8	1.0	4
warm_d1_r13	after	warm	on-demand	1	256	146623	183445	215284	40537867	6315	132492	0	0.0	1
warm_d4_r13	after	warm	on-demand	4	256	328429	420641	541576	24137646	10606	119545	4	0.0	4
fill_r13	after	cold	fill	1	256	49560	111234	955311	24163786	10594	109063	1032	0.02258064516129032	2
cold_d1_r13	before	cold	on-demand	1	256	343343	430620	528131	93495110	2738	173648	8	1.0	-
cold_d2_r13	before	cold	on-demand	2	256	382498	434648	599765	51569111	4964	116818	8	1.0	-
cold_d4_r13	before	cold	on-demand	4	256	818851	922368	1041085	55054330	4650	155064	8	1.0	-
warm_d1_r13	before	warm	on-demand	1	256	131506	160944	207890	36596550	6995	122738	0	0.0	-
warm_d4_r13	before	warm	on-demand	4	256	292900	377181	440059	20743891	12341	116484	0	0.0	-
fill_r13	before	cold	fill	1	256	43686	103089	1644222	35758933	7159	91089	2164	0.025	-
cold_d1_r14	before	cold	on-demand	1	256	340277	433938	571735	93096754	2750	153543	8	1.0	-
cold_d2_r14	before	cold	on-demand	2	256	385762	439023	536353	51956874	4927	111884	8	1.0	-
cold_d4_r14	before	cold	on-demand	4	256	822204	917103	1017307	55129108	4644	168817	8	1.0	-
warm_d1_r14	before	warm	on-demand	1	256	119492	153579	205467	33271957	7694	104396	0	0.0	-
warm_d4_r14	before	warm	on-demand	4	256	286582	365969	457392	20806125	12304	113655	44	0.0	-
fill_r14	before	cold	fill	1	256	39859	99850	946890	20203621	12671	90524	1144	0.02456140350877193	-
cold_d1_r14	after	cold	on-demand	1	256	349039	441605	567187	97419568	2628	167091	8	1.0	1
cold_d2_r14	after	cold	on-demand	2	256	375719	438243	576959	51867813	4936	115904	8	1.0	2
cold_d4_r14	after	cold	on-demand	4	256	468462	584305	668348	33136048	7726	126531	8	1.0	4
warm_d1_r14	after	warm	on-demand	1	256	120292	156238	198100	34213632	7482	112584	0	0.0	1
warm_d4_r14	after	warm	on-demand	4	256	285974	365901	436988	20733947	12347	101440	8	0.0	4
fill_r14	after	cold	fill	1	256	51127	130836	483084	21427325	11947	103094	1004	0.02702702702702703	2
cold_d1_r15	after	cold	on-demand	1	256	331073	416539	491600	89939528	2846	158165	8	1.0	1
cold_d2_r15	after	cold	on-demand	2	256	375667	419558	526472	50702023	5049	116505	8	1.0	2
cold_d4_r15	after	cold	on-demand	4	256	468103	606014	690474	33231439	7704	124227	8	1.0	4
warm_d1_r15	after	warm	on-demand	1	256	118381	153506	207536	32912981	7778	107256	0	0.0	1
warm_d4_r15	after	warm	on-demand	4	256	273999	360375	474750	19873378	12882	101726	0	0.0	4
fill_r15	after	cold	fill	1	256	42546	128554	1076062	21542993	11883	99514	1112	0.026923076923076925	2
cold_d1_r15	before	cold	on-demand	1	256	305368	435293	537395	87833945	2915	152859	8	1.0	-
cold_d2_r15	before	cold	on-demand	2	256	396977	455971	563002	53549314	4781	114927	8	1.0	-
cold_d4_r15	before	cold	on-demand	4	256	810452	912270	1078253	54994066	4655	173037	8	1.0	-
warm_d1_r15	before	warm	on-demand	1	256	125196	167180	190838	35173838	7278	110118	0	0.0	-
warm_d4_r15	before	warm	on-demand	4	256	298411	384039	494134	21644711	11827	119970	0	0.0	-
fill_r15	before	cold	fill	1	256	54409	133423	728822	24830931	10310	114899	1048	0.019157088122605363	-
rss_d4_r0	before	warm	on-demand	4	16384	1473473	27153335	96100198	767570254	21345	117685	14668	-	-
rss_d4_r0	after	warm	on-demand	4	16384	1448133	28379821	93536666	981647815	16690	125144	17732	-	-
rss_d4_r1	after	warm	on-demand	4	16384	1252731	3328045	85131689	781622966	20962	105040	17308	-	-
rss_d4_r1	before	warm	on-demand	4	16384	1462329	28478185	109553792	928864429	17639	117279	14912	-	-
rss_d4_r2	before	warm	on-demand	4	16384	1418805	28125070	93689422	949291446	17259	130782	15120	-	-
rss_d4_r2	after	warm	on-demand	4	16384	1321061	5430236	110520322	1221450956	13414	121780	17852	-	-
rss_d4_r3	after	warm	on-demand	4	16384	1308551	4157096	102986189	1008558113	16245	119673	17560	-	-
rss_d4_r3	before	warm	on-demand	4	16384	1523104	28910672	102231726	1112133266	14732	125182	15088	-	-
rss_d4_r4	before	warm	on-demand	4	16384	1398395	6658115	86551005	1036938772	15800	121803	14776	-	-
rss_d4_r4	after	warm	on-demand	4	16384	1464544	29086739	87950302	835503542	19610	116325	18092	-	-
rss_d4_r5	after	warm	on-demand	4	16384	1323840	28363203	104679571	972393972	16849	121456	18156	-	-
rss_d4_r5	before	warm	on-demand	4	16384	1454219	28068373	110587444	778033536	21058	118554	14636	-	-
rss_d4_r6	before	warm	on-demand	4	16384	1580005	29202893	94522494	923024936	17750	131171	14984	-	-
rss_d4_r6	after	warm	on-demand	4	16384	1369565	28652310	91176868	944883039	17340	123771	17904	-	-
rss_d4_r7	after	warm	on-demand	4	16384	1310680	5653928	85387111	710658117	23055	105136	17820	-	-
rss_d4_r7	before	warm	on-demand	4	16384	1587149	29034299	98427881	898644172	18232	130957	14668	-	-
