arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_us	threads_max	runtime	hop_count
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	20	320	320	643886	81759	209973	115858	37788325	0	0	0	0	80000000	2360669	0	0	0	37290	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	20	320	320	464633	92212	243896	102389	33400297	0	0	0	0	80000000	385896	0	0	0	38484	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	21	320	320	542242	72601	1991821	154828	49982416	0	0	0	0	80000000	1948182	0	0	0	46334	6	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	21	320	320	608247	91920	1373469	362697	116475313	0	0	0	0	80000000	2422974	0	0	0	105471	5	multi	5
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	21	320	320	630462	78607	842018	106480	34884771	0	0	0	0	80000000	1536462	0	0	0	34008	5	multi	5
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	22	320	320	589700	79862	1090222	131405	42572568	0	0	0	0	80000000	2623385	0	0	0	41049	6	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	22	320	320	565989	82537	265897	111742	36373597	0	0	0	0	80000000	2545222	0	0	0	35721	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	22	320	320	992154	93063	283600	116723	38491518	0	0	0	0	80000000	1396881	0	0	0	39898	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	23	320	320	588354	84540	1066591	162214	52398097	0	0	0	0	80000000	2495483	0	0	0	50978	6	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	23	320	320	610502	80301	1171092	134587	43685400	0	0	0	0	80000000	2676974	0	0	0	42826	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	23	320	320	688205	84337	182247	105475	34538150	0	0	0	0	80000000	1250465	0	0	0	36913	5	multi	4
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	24	320	320	513364	96551	181252	120550	39024478	0	0	0	0	80000000	2271431	0	0	0	38175	6	multi	4
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	24	320	320	612960	95455	289786	126259	41146197	0	0	0	0	80000000	2620979	0	0	0	41558	5	multi	4
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	24	320	320	581066	84271	175303	94882	31094068	0	0	0	0	80000000	437147	0	0	0	35449	5	multi	3
pread_nowait_chunked	frames_250k_live.sbnd	cold	forward	full	16384	25	320	320	559356	74226	1133059	289945	93107302	0	0	0	0	80000000	2534180	0	0	0	85600	6	multi	5
uring_nowait_hybrid	frames_250k_live.sbnd	cold	forward	full	16384	25	320	320	830235	910759	1584065	747542	239475049	0	0	0	0	80000000	2407002	0	0	0	235094	5	multi	5
uring_tuned	frames_250k_live.sbnd	cold	forward	full	16384	25	320	320	700878	111231	1092418	160059	52077691	0	0	0	0	80000000	1715531	0	0	0	50763	5	multi	5
