arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
pread_nowait_escalate	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	616678	667335	914700	688065	220351757	407	22809	206816	83705	80000000	405256	0	0	0	340060113	6	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	712234	654600	1055356	670097	214711479	410	21792	534870	77972	80000000	360726	0	0	0	322119969	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	604491	538482	776900	545225	174753017	313	20292	161472	99502	80000000	411774	0	0	0	274504698	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	3	320	320	3777451	252869	4498884	470796	154090993	371	22243	116953	62634	0	68060	0	0	0	218484054	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	500178	591814	865062	626895	200672583	334	36490	489395	83783	80000000	330348	0	0	0	279232701	6	multi	320
pread_nowait_escalate	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	694043	549545	925537	584544	187399629	312	26812	249056	95041	80000000	392032	0	0	0	290311208	6	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	668065	512895	904320	540429	173304225	350	20069	329367	95331	80000000	306423	0	0	0	270584350	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	579025	526426	813825	537412	172178722	307	17106	138427	116117	80000000	418484	0	0	0	274537244	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	4	320	320	4290452	194759	4954310	431384	142024556	426	21669	225050	60731	0	55862	0	0	0	208033447	6	multi	320
pread_nowait_chunked	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	598206	616705	811818	623425	199684794	303	30773	218230	109202	80000000	344780	0	0	0	282526566	6	multi	320
pread_nowait_escalate	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	771766	645010	901431	665274	213223255	406	49035	419512	69462	80000000	443675	0	0	0	324245606	6	multi	320
pread_nowait	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	571085	483989	847748	488673	156623519	350	21195	468380	68715	80000000	300996	0	0	0	230512353	6	multi	320
pread_blocking_pooled	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	652546	527183	652291	521614	167209572	312	16163	129999	105380	80000000	416400	0	0	0	263754386	6	multi	320
mmap_blocking_touch	frames_250k_live.sbnd	cold	reverse	full	16384	5	320	320	5588399	233684	4191824	434646	144344255	472	22422	235422	45804	0	59840	0	0	0	201185229	6	multi	320
