label	arm	prefetch	temp	shape	size	stride	depth	readers	repeat	pos	asks	p50_ns	p90_ns	p99_ns	cpu_ns_per_ask	wall_ns	asks_per_s	threads	gap_p99_ns	gap_max_ns	miss_pct	resident_pct	peak_named	peak_in_flight
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	9	2	256	3345822	3552551	3689360	354770	55316403	4628	9	8187	3214511	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	9	3	256	295750	584667	894141	520963	81041404	3159	9	7980	373236	99.6	0.000	4	4
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	10	0	256	3393193	3605667	3770664	379403	54639749	4685	25	5529	649906	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	10	1	256	3385642	3590584	3692371	350336	55680345	4598	9	7276	3394885	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	10	2	256	468869	913972	1037441	835229	135005131	1896	9	5151	364657	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	10	3	256	3430793	3969653	4755588	401958	56527482	4529	9	9078	574814	99.6	0.000	0	0
w2_250k_depth	hybrid_lazyring	off	cold	stride	250000	500000	16	1	11	0	256	3319627	3628736	4188770	408537	58108855	4406	9	7030	709254	99.6	0.000	0	0
w2_250k_depth	product	off	cold	stride	250000	500000	16	1	11	1	256	278367	605954	910522	514061	81410681	3145	9	7690	335074	99.6	0.000	4	4
w2_250k_depth	product_sessions	off	cold	stride	250000	500000	16	1	11	2	256	3437243	4124743	4692581	390036	56901625	4499	9	11394	881601	99.6	0.000	0	0
w2_250k_depth	pool	off	cold	stride	250000	500000	16	1	11	3	256	8188807	8379370	8466332	896219	132334617	1934	25	3733	910455	99.6	0.000	0	0
