layout	temp	arm	study	temp	trace	access	chunk	repeat	frames	asks	first_frame_ns	later_p50_ns	later_p99_ns	later_mean_ns	series_wall_ns	gap_p50_ns	gap_p99_ns	gap_max_ns	gap_samples	bytes_copied	hop_p50_ns	other_later_p50_ns	other_later_p99_ns	other_asks	cpu_ns	threads_max	runtime	hop_count
rung_major_stripe	cold	uring_nowait_hybrid	frames_16k_big.sbnd	cold	stripe_320	full	16384	4	5120	320	211908	17614	72465	14296	4906509	505	27342	191612	1117	5242880	418466	0	0	0	7018965	5	multi	2
rung_major_stripe	cold	pread_nowait_chunked	frames_16k_big.sbnd	cold	stripe_320	full	16384	5	5120	320	160259	3106	93399	8548	2913317	260	18217	100833	2594	5242880	94815	0	0	0	5486500	6	multi	4
rung_major_stripe	cold	pread_blocking_pooled	frames_16k_big.sbnd	cold	stripe_320	full	16384	5	5120	320	266415	31331	73772	34144	11231441	364	38650	99111	1694	5242880	29015	0	0	0	16108285	6	multi	320
rung_major_stripe	cold	uring_nowait_hybrid	frames_16k_big.sbnd	cold	stripe_320	full	16384	5	5120	320	213391	3529	54478	12689	4385444	436	19369	184445	2274	5242880	295507	0	0	0	7115141	5	multi	3
rung_major_stripe	cold	pread_nowait_chunked	frames_16k_big.sbnd	cold	stripe_320	full	16384	6	5120	320	261656	2953	89379	13772	4682655	281	17619	117997	3233	5242880	370178	0	0	0	7380850	6	multi	3
rung_major_stripe	cold	pread_blocking_pooled	frames_16k_big.sbnd	cold	stripe_320	full	16384	6	5120	320	313474	33572	96993	37015	12214000	277	32233	146985	2477	5242880	30523	0	0	0	18291294	6	multi	320
rung_major_stripe	cold	uring_nowait_hybrid	frames_16k_big.sbnd	cold	stripe_320	full	16384	6	5120	320	218247	3644	64669	10945	3941933	470	19543	60430	2174	5242880	335284	0	0	0	7646731	5	multi	3
rung_major_stripe	cold	pread_nowait_chunked	frames_16k_big.sbnd	cold	stripe_320	full	16384	7	5120	320	243641	3147	78657	10768	3707380	257	18259	126411	3318	5242880	315778	0	0	0	5836817	6	multi	3
rung_major_stripe	cold	pread_blocking_pooled	frames_16k_big.sbnd	cold	stripe_320	full	16384	7	5120	320	297979	33757	77408	37074	12223762	279	32486	110110	2901	5242880	30529	0	0	0	18099341	6	multi	320
rung_major_stripe	cold	uring_nowait_hybrid	frames_16k_big.sbnd	cold	stripe_320	full	16384	7	5120	320	239891	3586	67758	12646	4429762	255	18970	228573	4028	5242880	342594	0	0	0	7248954	5	multi	3
rung_major_stripe	cold	pread_nowait_chunked	frames_16k_big.sbnd	cold	stripe_320	full	16384	8	5120	320	205943	3173	62784	9041	3134355	253	17736	157583	3197	5242880	296183	0	0	0	5545977	6	multi	3
rung_major_stripe	cold	pread_blocking_pooled	frames_16k_big.sbnd	cold	stripe_320	full	16384	8	5120	320	377233	45147	85828	43544	14392232	279	30076	77001	4112	5242880	29226	0	0	0	20483449	6	multi	320
rung_major_stripe	cold	uring_nowait_hybrid	frames_16k_big.sbnd	cold	stripe_320	full	16384	8	5120	320	169510	3145	62595	8276	2936261	260	15654	273617	2493	5242880	1047071	0	0	0	5458401	5	multi	1
rung_major_stripe	cold	pread_nowait_chunked	frames_16k_big.sbnd	cold	stripe_320	full	16384	9	5120	320	208076	17497	90570	17807	5934341	267	18584	96402	2391	5242880	313284	0	0	0	8001299	6	multi	3
rung_major_stripe	cold	pread_blocking_pooled	frames_16k_big.sbnd	cold	stripe_320	full	16384	9	5120	320	224025	31663	91243	35160	11516569	291	32035	87532	2594	5242880	29031	0	0	0	16593982	7	multi	320
rung_major_stripe	cold	uring_nowait_hybrid	frames_16k_big.sbnd	cold	stripe_320	full	16384	9	5120	320	177222	3373	53652	8720	3183642	262	17635	61474	3111	5242880	329306	0	0	0	6696575	5	multi	3
frame_major_prefix	warm	pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	50029	3017	23186	3777	1278389	257	17123	144347	1332	5242880	0	0	0	0	3007215	5	multi	0
frame_major_prefix	warm	pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	193663	45509	76598	44628	14539125	281	33902	117015	2645	5242880	29527	0	0	0	20444900	6	multi	320
frame_major_prefix	warm	uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	1	320	320	37443	3033	24647	4084	1448950	264	17653	133262	1379	5242880	0	0	0	0	3436780	5	multi	0
frame_major_prefix	warm	pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	22584	2199	10228	2555	856591	396	19292	62433	565	5242880	0	0	0	0	2199002	5	multi	0
frame_major_prefix	warm	pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	112143	45934	80954	43884	14237137	376	36190	115785	1602	5242880	29846	0	0	0	19718177	6	multi	320
frame_major_prefix	warm	uring_nowait_hybrid	frames_250k_live.sbnd	warm	forward	full	16384	2	320	320	17999	3102	23033	3752	1295638	329	17925	56710	1056	5242880	0	0	0	0	3457552	5	multi	0
frame_major_prefix	warm	pread_nowait_chunked	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	31484	2652	24312	3321	1112037	529	19106	59148	547	5242880	0	0	0	0	2720269	5	multi	0
frame_major_prefix	warm	pread_blocking_pooled	frames_250k_live.sbnd	warm	forward	full	16384	3	320	320	106314	34267	80085	39561	12821812	2866	37415	86290	1154	5242880	29138	0	0	0	17867616	6	multi	320
