arm	fixture	rtt_ms	depth	run	mbps	p95_wait_ms	peak_outstanding	asks_sent
P	frames_250k	60	1	3	4.400	0.00	1	12
P	frames_250k	60	2	1	6.000	0.00	2	17
P	frames_250k	60	2	2	6.800	0.00	2	19
P	frames_250k	60	2	3	6.400	0.00	2	18
P	frames_250k	60	3	1	7.200	0.00	3	21
P	frames_250k	60	3	2	7.200	0.00	3	21
P	frames_250k	60	3	3	7.200	0.00	3	21
P	frames_250k	60	4	1	7.200	0.00	4	22
P	frames_250k	60	4	2	6.400	0.00	4	20
P	frames_250k	60	4	3	7.200	0.00	4	22
P	frames_250k	60	6	1	5.200	0.00	6	19
P	frames_250k	60	6	2	7.600	0.00	6	25
P	frames_250k	60	6	3	7.600	0.00	6	25
P	frames_250k	60	8	1	6.800	0.00	8	25
P	frames_250k	60	8	2	6.800	0.00	8	25
P	frames_250k	60	8	3	6.800	0.00	8	25
P	frames_250k	60	12	1	5.200	0.00	12	25
P	frames_250k	60	12	2	4.800	0.00	12	24
P	frames_250k	60	12	3	4.800	0.00	12	24
P	frames_250k	60	16	1	6.400	0.00	16	32
P	frames_250k	60	16	2	6.400	0.00	16	32
P	frames_250k	60	16	3	6.400	0.00	16	32
Q	frames_250k	60	1	1	4.400	0.00	1	12
Q	frames_250k	60	1	2	4.400	0.00	1	12
Q	frames_250k	60	1	3	4.400	0.00	1	12
Q	frames_250k	60	2	1	7.600	0.00	2	21
Q	frames_250k	60	2	2	8.000	0.00	2	22
Q	frames_250k	60	2	3	7.600	0.00	2	21
Q	frames_250k	60	3	1	7.600	0.00	3	22
Q	frames_250k	60	3	2	7.600	0.00	3	22
Q	frames_250k	60	3	3	7.600	0.00	3	22
Q	frames_250k	60	4	1	7.600	0.00	4	23
Q	frames_250k	60	4	2	7.600	0.00	4	23
Q	frames_250k	60	4	3	7.600	0.00	4	23
Q	frames_250k	60	6	1	7.600	0.00	6	25
Q	frames_250k	60	6	2	7.200	0.00	6	24
Q	frames_250k	60	6	3	7.200	0.00	6	24
Q	frames_250k	60	8	1	7.200	0.00	8	26
Q	frames_250k	60	8	2	6.800	0.00	8	25
Q	frames_250k	60	8	3	7.600	0.00	8	27
Q	frames_250k	60	12	1	6.800	0.00	12	29
Q	frames_250k	60	12	2	6.000	0.00	12	27
Q	frames_250k	60	12	3	6.800	0.00	12	29
Q	frames_250k	60	16	1	6.800	0.00	16	33
Q	frames_250k	60	16	2	5.600	0.00	16	30
Q	frames_250k	60	16	3	6.400	0.00	16	32
S	frames_32k	60	1	1	0.871	0.00	1	18
